mix compile
-------------------------------------------------------------------
server5-0049 role=LEADER    term=596 !inf "Become leader"
server2-0112 role=LEADER    term=598 !inf "Become leader"
server2-0113 role=LEADER    term=601 !inf "Become leader"
server5-0050 role=LEADER    term=603 !inf "Become leader"
server3-0038 role=LEADER    term=604 !inf "Become leader"
server2-0114 role=LEADER    term=605 !inf "Become leader"
server5-0051 role=LEADER    term=607 !inf "Become leader"
server5-0052 role=LEADER    term=609 !inf "Become leader"
server1-0027 role=LEADER    term=611 !inf "Become leader"
server2-0115 role=LEADER    term=617 !inf "Become leader"
server2-0116 role=LEADER    term=619 !inf "Become leader"
server2-0117 role=LEADER    term=621 !inf "Become leader"
server4-0051 role=LEADER    term=623 !inf "Become leader"
  time = 10000 client requests seen = [{1, 23}, {2, 540}, {3, 3}, {4, 3}, {5, 144}]
  time = 10000      db updates done = [{1, 668}, {2, 668}, {3, 668}, {4, 668}, {5, 668}]

server2-0118 role=LEADER    term=624 !inf "Become leader"
server2-0119 role=LEADER    term=625 !inf "Become leader"
server2-0120 role=LEADER    term=630 !inf "Become leader"
server3-0039 role=LEADER    term=633 !inf "Become leader"
server2-0121 role=LEADER    term=634 !inf "Become leader"
server2-0122 role=LEADER    term=637 !inf "Become leader"
server3-0040 role=LEADER    term=638 !inf "Become leader"
server4-0052 role=LEADER    term=641 !inf "Become leader"
  time = 10500 client requests seen = [{1, 23}, {2, 540}, {3, 3}, {4, 67}, {5, 144}]
  time = 10500      db updates done = [{1, 729}, {2, 729}, {3, 729}, {4, 732}, {5, 729}]

server1-0028 role=LEADER    term=643 !inf "Become leader"
server4-0053 role=LEADER    term=644 !inf "Become leader"
server3-0041 role=LEADER    term=646 !inf "Become leader"
server4-0054 role=LEADER    term=648 !inf "Become leader"
server4-0055 role=LEADER    term=651 !inf "Become leader"
server3-0042 role=LEADER    term=652 !inf "Become leader"
server5-0053 role=LEADER    term=653 !inf "Become leader"
server2-0123 role=LEADER    term=654 !inf "Become leader"
server1-0029 role=LEADER    term=656 !inf "Become leader"
server4-0056 role=LEADER    term=658 !inf "Become leader"
server4-0057 role=LEADER    term=660 !inf "Become leader"
server1-0030 role=LEADER    term=661 !inf "Become leader"
server4-0058 role=LEADER    term=662 !inf "Become leader"
server5-0054 role=LEADER    term=664 !inf "Become leader"
server2-0124 role=LEADER    term=666 !inf "Become leader"
server2-0125 role=LEADER    term=668 !inf "Become leader"
server2-0126 role=LEADER    term=672 !inf "Become leader"
server1-0031 role=LEADER    term=673 !inf "Become leader"
server5-0055 role=LEADER    term=675 !inf "Become leader"
server3-0043 role=LEADER    term=677 !inf "Become leader"
  time = 11000 client requests seen = [{1, 23}, {2, 540}, {3, 3}, {4, 83}, {5, 144}]
  time = 11000      db updates done = [{1, 742}, {2, 742}, {3, 742}, {4, 743}, {5, 742}]

server3-0044 role=LEADER    term=679 !inf "Become leader"
server1-0032 role=LEADER    term=682 !inf "Become leader"
server2-0127 role=LEADER    term=683 !inf "Become leader"
server1-0033 role=LEADER    term=685 !inf "Become leader"
server5-0056 role=LEADER    term=686 !inf "Become leader"
server2-0128 role=LEADER    term=687 !inf "Become leader"
server4-0059 role=LEADER    term=689 !inf "Become leader"
server5-0057 role=LEADER    term=691 !inf "Become leader"
server4-0060 role=LEADER    term=692 !inf "Become leader"
server4-0061 role=LEADER    term=693 !inf "Become leader"
server2-0129 role=LEADER    term=699 !inf "Become leader"
server5-0058 role=LEADER    term=701 !inf "Become leader"
server2-0130 role=LEADER    term=702 !inf "Become leader"
server5-0059 role=LEADER    term=704 !inf "Become leader"
server1-0034 role=LEADER    term=706 !inf "Become leader"
server2-0131 role=LEADER    term=711 !inf "Become leader"
server5-0060 role=LEADER    term=712 !inf "Become leader"
server3-0045 role=LEADER    term=714 !inf "Become leader"
server5-0061 role=LEADER    term=715 !inf "Become leader"
server5-0062 role=LEADER    term=716 !inf "Become leader"
server5-0063 role=LEADER    term=718 !inf "Become leader"
server2-0132 role=LEADER    term=723 !inf "Become leader"
  time = 11500 client requests seen = [{1, 24}, {2, 540}, {3, 3}, {4, 83}, {5, 144}]
  time = 11500      db updates done = [{1, 742}, {2, 742}, {3, 742}, {4, 743}, {5, 742}]

server2-0133 role=LEADER    term=726 !inf "Become leader"
server2-0134 role=LEADER    term=728 !inf "Become leader"
server1-0035 role=LEADER    term=729 !inf "Become leader"
server2-0135 role=LEADER    term=732 !inf "Become leader"
server5-0064 role=LEADER    term=733 !inf "Become leader"
server1-0036 role=LEADER    term=735 !inf "Become leader"
server4-0062 role=LEADER    term=737 !inf "Become leader"
server3-0046 role=LEADER    term=739 !inf "Become leader"
server2-0136 role=LEADER    term=740 !inf "Become leader"
server4-0063 role=LEADER    term=742 !inf "Become leader"
server4-0064 role=LEADER    term=744 !inf "Become leader"
server2-0137 role=LEADER    term=745 !inf "Become leader"
server2-0138 role=LEADER    term=746 !inf "Become leader"
server4-0065 role=LEADER    term=748 !inf "Become leader"
server2-0139 role=LEADER    term=749 !inf "Become leader"
server2-0140 role=LEADER    term=750 !inf "Become leader"
server2-0141 role=LEADER    term=754 !inf "Become leader"
server5-0065 role=LEADER    term=756 !inf "Become leader"
server2-0142 role=LEADER    term=757 !inf "Become leader"
server2-0143 role=LEADER    term=759 !inf "Become leader"
  Node raft_07_ycniu@127.0.0.1 exiting - monitor:  ** error db 2.742 [51,58,54] = log 742/743 [584,30,72]
  Node raft_07_ycniu@127.0.0.1 exiting - monitor:  ** error db 1.742 [51,58,54] = log 742/745 [584,30,72]
  Node raft_07_ycniu@127.0.0.1 exiting - monitor:  ** error db 3.742 [51,58,54] = log 742/745 [584,30,72]
  Node raft_07_ycniu@127.0.0.1 exiting - monitor:  ** error db 5.742 [51,58,54] = log 742/745 [584,30,72]
  time = 12000 client requests seen = [{1, 24}, {2, 561}, {3, 3}, {4, 83}, {5, 144}]
  time = 12000      db updates done = [{1, 760}, {2, 760}, {3, 760}, {4, 757}, {5, 757}]

server1-0037 role=LEADER    term=761 !inf "Become leader"
server5-0066 role=LEADER    term=763 !inf "Become leader"
server1-0038 role=LEADER    term=765 !inf "Become leader"
server5-0067 role=LEADER    term=766 !inf "Become leader"
server4-0066 role=LEADER    term=769 !inf "Become leader"
server4-0067 role=LEADER    term=771 !inf "Become leader"
server2-0144 role=LEADER    term=772 !inf "Become leader"
server2-0145 role=LEADER    term=774 !inf "Become leader"
server5-0068 role=LEADER    term=776 !inf "Become leader"
server2-0146 role=LEADER    term=778 !inf "Become leader"
server2-0147 role=LEADER    term=782 !inf "Become leader"
server3-0047 role=LEADER    term=784 !inf "Become leader"
server1-0039 role=LEADER    term=786 !inf "Become leader"
server5-0069 role=LEADER    term=787 !inf "Become leader"
server4-0068 role=LEADER    term=788 !inf "Become leader"
server5-0070 role=LEADER    term=790 !inf "Become leader"
server2-0148 role=LEADER    term=791 !inf "Become leader"
server2-0149 role=LEADER    term=794 !inf "Become leader"
server3-0048 role=LEADER    term=795 !inf "Become leader"
server1-0040 role=LEADER    term=796 !inf "Become leader"
server4-0069 role=LEADER    term=799 !inf "Become leader"
server4-0070 role=LEADER    term=802 !inf "Become leader"
  time = 12500 client requests seen = [{1, 25}, {2, 563}, {3, 3}, {4, 83}, {5, 144}]
  time = 12500      db updates done = [{1, 762}, {2, 762}, {3, 762}, {4, 762}, {5, 762}]

server5-0071 role=LEADER    term=805 !inf "Become leader"
server3-0049 role=LEADER    term=807 !inf "Become leader"
server5-0072 role=LEADER    term=809 !inf "Become leader"
server4-0071 role=LEADER    term=811 !inf "Become leader"
server1-0041 role=LEADER    term=813 !inf "Become leader"
server5-0073 role=LEADER    term=815 !inf "Become leader"

13:14:22.439 [error] Process #PID<0.148.0> on node :"server2_07_ycniu@127.0.0.1" raised an exception
** (ErlangError) Erlang error: :terminated
    (stdlib 3.17) io.erl:94: :io.put_chars(:standard_io, ["server2-0150 role=LEADER    term=819 !inf \"Become leader\"", 10])
    (raft 0.1.0) lib/debug.ex:28: Debug.message/4
    (raft 0.1.0) lib/vote.ex:34: Vote.receive_vote_reply_from_follower/3
    (raft 0.1.0) lib/server.ex:74: Server.next/1

13:14:22.450 [error] Process #PID<0.148.0> on node :"server4_07_ycniu@127.0.0.1" raised an exception
** (ErlangError) Erlang error: :terminated
    (stdlib 3.17) io.erl:94: :io.put_chars(:standard_io, ["server4-0072 role=LEADER    term=820 !inf \"Become leader\"", 10])
    (raft 0.1.0) lib/debug.ex:28: Debug.message/4
    (raft 0.1.0) lib/vote.ex:34: Vote.receive_vote_reply_from_follower/3
    (raft 0.1.0) lib/server.ex:74: Server.next/1
  Node client4_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node server5_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node server3_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node client2_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node server2_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node client5_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node client1_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node client3_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node server4_07_ycniu@127.0.0.1 exiting - maxtime reached
  Node server1_07_ycniu@127.0.0.1 exiting - maxtime reached
